시군구,,,,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도,강릉시,입암동,,506-5,506,5,태평양임대,34.722,202203,7,6000,8,1998,강변로410번길 31-5,,직거래,-
강원도,강릉시,입암동,,506-5,506,5,태평양임대,34.722,202203,16,5400,13,1998,강변로410번길 31-5,,중개거래,강원 강릉시
강원도,강릉시,저동,,44655,4,4,경포현대,84.915,202203,12,35400,3,1996,경포로463번안길 14,,중개거래,강원 강릉시
강원도,강릉시,주문진읍,교항리,1166-1,1166,1,우신그린피아임대,59.98,202203,5,8400,10,1999,보리골길 26,,중개거래,강원 강릉시
강원도,강릉시,주문진읍,교항리,1166-1,1166,1,우신그린피아임대,59.98,202203,10,8000,1,1999,보리골길 26,,중개거래,강원 강릉시
강원도,강릉시,주문진읍,교항리,430-1,430,1,유성,48.13,202203,5,4300,6,1991,매맥이윗길 12-4,,중개거래,강원 강릉시
강원도,강릉시,주문진읍,교항리,430-1,430,1,유성,49.89,202203,14,5800,2,1991,매맥이윗길 12-4,,중개거래,강원 강릉시
강원도,강릉시,주문진읍,주문리,842,842,0,우일해변,81.6525,202203,9,12500,3,1991,소돌안길 32-6,,중개거래,강원 강릉시
강원도,강릉시,주문진읍,주문리,61,61,0,주문진라일플로리스4차,23.662,202203,5,11250,10,2017,오리나루2길 25,,중개거래,강원 강릉시
강원도,강릉시,주문진읍,주문리,61,61,0,주문진라일플로리스4차,21.305,202203,9,9500,7,2017,오리나루2길 25,,중개거래,강원 강릉시
강원도,강릉시,주문진읍,주문리,61,61,0,주문진라일플로리스4차,45.6995,202203,14,14000,3,2017,오리나루2길 25,,중개거래,강원 양양군
강원도,강릉시,주문진읍,주문리,311-1,311,1,현대프라자,52.38,202203,7,8300,8,1995,주문로 144,,중개거래,강원 강릉시
강원도,강릉시,지변동,,334,334,0,덕원임대,59.961,202203,14,11000,5,1998,죽헌길85번길 25,,중개거래,강원 강릉시
강원도,강릉시,초당동,,181,181,0,유화2,78.167,202203,12,15300,3,1994,연당길 94-6,,중개거래,강원 강릉시
강원도,강릉시,초당동,,155,155,0,유화3,45.68,202203,7,13000,8,1996,연당길 82,,중개거래,강원 강릉시
강원도,강릉시,포남동,,422-3,422,3,대인4,19.99,202203,4,4700,10,1995,강릉대로469번길 14,,중개거래,강원 강릉시
강원도,강릉시,포남동,,422-3,422,3,대인4,19.99,202203,9,4900,3,1995,강릉대로469번길 14,,중개거래,강원 강릉시
강원도,강릉시,포남동,,898-17,898,17,삼우골든맨션,114.33,202203,3,30000,13,1991,용지각길20번길 8,,중개거래,강원 강릉시
강원도,강릉시,포남동,,1293-1,1293,1,일송,59.135,202203,9,19500,3,1995,하평3길 37,,중개거래,강원 강릉시
강원도,강릉시,포남동,,1065,1065,0,포남1주공,42.54,202203,5,14500,4,1981,보래미상길 65,,중개거래,강원 강릉시
강원도,강릉시,홍제동,,1007,1007,0,강릉홍제힐스테이트,84.961,202203,12,38500,12,2007,토성로 39,,중개거래,강원 강릉시
강원도,강릉시,홍제동,,1044,1044,0,엘에이치미디어촌6단지,59.98,202203,10,38000,23,2018,선수촌로 10,,중개거래,강원 강릉시
강원도,강릉시,홍제동,,1037,1037,0,우미린아파트,84.9871,202203,14,52000,14,2016,선수촌로 55,,중개거래,강원 강릉시
