시군구,,,,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도,강릉시,송정동,,1065,1065,0,강릉송정신원아침도시,75.9722,202202,24,47500,9,2020,경강로 2498,,중개거래,강원 강릉시
강원도,강릉시,송정동,,1063,1063,0,강릉송정한신더휴,84.961,202202,5,52750,14,2019,경강로 2448,,중개거래,강원 강릉시
강원도,강릉시,송정동,,1063,1063,0,강릉송정한신더휴,84.9955,202202,10,54300,17,2019,경강로 2448,,중개거래,강원 강릉시
강원도,강릉시,송정동,,14519,39,10,삼익비치맨션,84.544,202202,17,22500,2,1992,해안로 107,,중개거래,강원 강릉시
강원도,강릉시,연곡면,영진리,305-2,305,2,삼우그린,30.24,202202,3,5650,8,1999,연주로 132,,중개거래,강원 강릉시
강원도,강릉시,연곡면,영진리,305-2,305,2,삼우그린,30.24,202202,12,4500,1,1999,연주로 132,,중개거래,강원 강릉시
강원도,강릉시,연곡면,영진리,305-2,305,2,삼우그린,30.24,202202,12,4500,1,1999,연주로 132,20220216,중개거래,강원 강릉시
강원도,강릉시,연곡면,영진리,305-2,305,2,삼우그린,30.24,202202,15,6200,7,1999,연주로 132,,중개거래,강원 강릉시
강원도,강릉시,연곡면,영진리,380,380,0,영진부영3,84.9157,202202,10,23000,1,2008,영진3길 15,,직거래,-
강원도,강릉시,연곡면,영진리,381,381,0,영진코아루비치테라스,36.5333,202202,9,18100,13,2019,홍질목길 12,,중개거래,강원 강릉시
강원도,강릉시,연곡면,영진리,381,381,0,영진코아루비치테라스,29.9674,202202,12,12000,3,2019,홍질목길 12,,중개거래,강원 강릉시
강원도,강릉시,연곡면,영진리,381,381,0,영진코아루비치테라스,43.5566,202202,16,22500,14,2019,홍질목길 12,,중개거래,강원 강릉시
강원도,강릉시,유천동,,778,778,0,엘에이치선수촌8단지,84.77,202202,23,60000,8,2018,선수촌로 113,,중개거래,강원 강릉시
강원도,강릉시,유천동,,778,778,0,엘에이치선수촌8단지,74.88,202202,24,48000,16,2018,선수촌로 113,,중개거래,강원 강릉시
강원도,강릉시,입암동,,711,711,0,강릉더샵,84.94,202202,24,37750,11,2014,입암로29번길 11,,직거래,-
강원도,강릉시,입암동,,321,321,0,강릉입암동금호어울림,84.96,202202,7,36000,10,2007,성덕로 328-15,,중개거래,강원 강릉시
강원도,강릉시,입암동,,321,321,0,강릉입암동금호어울림,84.77,202202,10,37000,15,2007,성덕로 328-15,,직거래,-
강원도,강릉시,입암동,,321,321,0,강릉입암동금호어울림,84.77,202202,24,37500,8,2007,성덕로 328-15,,중개거래,강원 강릉시
강원도,강릉시,입암동,,33604,92,1,녹원,81.91,202202,15,16800,7,1992,월대산로 57,,중개거래,강원 강릉시
강원도,강릉시,입암동,,506-9,506,9,대인3,59.685,202202,28,9500,12,1993,강변로410번길 27,,중개거래,강원 강릉시
강원도,강릉시,입암동,,543-3,543,3,에버그린,59.85,202202,10,15000,6,2000,강변로440번길 30,,중개거래,강원 강릉시
강원도,강릉시,입암동,,543-3,543,3,에버그린,59.85,202202,15,15000,7,2000,강변로440번길 30,,중개거래,강원 강릉시
강원도,강릉시,입암동,,32994,90,5,은하,39.85,202202,24,5900,5,2001,월대산로 47,,직거래,-
강원도,강릉시,입암동,,210,210,0,이안강릉타운,84.7,202202,11,34000,12,2006,성덕로 316-22,,중개거래,강원 강릉시
강원도,강릉시,입암동,,210,210,0,이안강릉타운,84.7,202202,14,34200,6,2006,성덕로 316-22,,중개거래,강원 강릉시
강원도,강릉시,입암동,,210,210,0,이안강릉타운,84.7,202202,19,32800,3,2006,성덕로 316-22,,중개거래,강원 강릉시
강원도,강릉시,입암동,,210,210,0,이안강릉타운,84.7,202202,25,34200,8,2006,성덕로 316-22,,중개거래,강원 강릉시
강원도,강릉시,입암동,,685,685,0,입암4주공,59.8,202202,10,16800,13,1996,성덕포남로 89,,중개거래,강원 강릉시
강원도,강릉시,입암동,,685,685,0,입암4주공,59.8,202202,24,15500,3,1996,성덕포남로 89,,중개거래,강원 강릉시
강원도,강릉시,입암동,,685,685,0,입암5주공,49.97,202202,7,12800,3,1996,성덕포남로 89-17,,중개거래,강원 강릉시
강원도,강릉시,입암동,,685,685,0,입암5주공,49.97,202202,8,13000,12,1996,성덕포남로 89-17,,중개거래,강원 강릉시
강원도,강릉시,입암동,,685,685,0,입암5주공,49.97,202202,11,12900,11,1996,성덕포남로 89-17,,중개거래,강원 강릉시
강원도,강릉시,입암동,,685,685,0,입암5주공,49.97,202202,11,13500,5,1996,성덕포남로 89-17,,직거래,-
강원도,강릉시,입암동,,685,685,0,입암5주공,49.97,202202,12,13300,7,1996,성덕포남로 89-17,,직거래,-
강원도,강릉시,입암동,,685,685,0,입암5주공,49.97,202202,19,13300,5,1996,성덕포남로 89-17,,중개거래,강원 강릉시
강원도,강릉시,입암동,,685,685,0,입암5주공,39.99,202202,22,9500,7,1996,성덕포남로 89-17,,중개거래,강원 강릉시
강원도,강릉시,입암동,,709-1,709,1,입암6주공,59.99,202202,3,18300,9,1998,성덕포남로 39,,중개거래,강원 강릉시
강원도,강릉시,입암동,,709-1,709,1,입암6주공,49.62,202202,4,13700,2,1998,성덕포남로 39,,중개거래,강원 강릉시
강원도,강릉시,입암동,,709-1,709,1,입암6주공,49.62,202202,7,13000,7,1998,성덕포남로 39,,직거래,-
강원도,강릉시,입암동,,709-1,709,1,입암6주공,49.62,202202,14,13900,4,1998,성덕포남로 39,,중개거래,서울 영등포구
강원도,강릉시,입암동,,709-1,709,1,입암6주공,49.62,202202,16,13500,7,1998,성덕포남로 39,,중개거래,강원 강릉시
강원도,강릉시,입암동,,709-1,709,1,입암6주공,49.62,202202,19,13800,7,1998,성덕포남로 39,,중개거래,강원 강릉시
강원도,강릉시,입암동,,709-1,709,1,입암6주공,59.99,202202,19,17000,6,1998,성덕포남로 39,,중개거래,강원 강릉시
강원도,강릉시,입암동,,709-1,709,1,입암6주공,49.62,202202,19,13800,11,1998,성덕포남로 39,,중개거래,강원 강릉시
강원도,강릉시,입암동,,709-1,709,1,입암6주공,49.62,202202,19,13800,9,1998,성덕포남로 39,,중개거래,강원 강릉시
강원도,강릉시,입암동,,709-1,709,1,입암6주공,59.99,202202,19,16700,1,1998,성덕포남로 39,,중개거래,강원 강릉시
강원도,강릉시,입암동,,709-1,709,1,입암6주공,49.62,202202,25,14400,4,1998,성덕포남로 39,,중개거래,강원 강릉시
강원도,강릉시,입암동,,709-1,709,1,입암6주공,49.62,202202,26,13900,6,1998,성덕포남로 39,,중개거래,강원 강릉시
강원도,강릉시,입암동,,709-1,709,1,입암6주공,49.62,202202,26,13200,9,1998,성덕포남로 39,,중개거래,강원 강릉시
강원도,강릉시,입암동,,709-1,709,1,입암6주공,59.99,202202,28,16800,3,1998,성덕포남로 39,,중개거래,강원 강릉시
강원도,강릉시,입암동,,712,712,0,입암동강변코아루오투리움아파트,79.191,202202,10,38500,12,2019,월대산로 23,,중개거래,강원 강릉시
강원도,강릉시,입암동,,712,712,0,입암동강변코아루오투리움아파트,79.191,202202,13,35200,2,2019,월대산로 23,,중개거래,강원 강릉시
강원도,강릉시,입암동,,712,712,0,입암동강변코아루오투리움아파트,79.191,202202,26,35000,10,2019,월대산로 23,,중개거래,강원 강릉시
강원도,강릉시,입암동,,639-84,639,84,입암백조,55.59,202202,5,10000,5,1986,강변로 368,,중개거래,"강원 강릉시, 경기 안양만안구"
강원도,강릉시,입암동,,639-84,639,84,입암백조,55.59,202202,15,6900,4,1986,강변로 368,,직거래,-
강원도,강릉시,입암동,,440,440,0,입암현대,84.904,202202,15,28500,8,1998,용지로 19,,직거래,-
강원도,강릉시,입암동,,440,440,0,입암현대,59.956,202202,16,20500,11,1998,용지로 19,,중개거래,강원 강릉시
강원도,강릉시,입암동,,506-5,506,5,태평양임대,34.722,202202,9,5850,3,1998,강변로410번길 31-5,,중개거래,강원 강릉시
강원도,강릉시,입암동,,506-5,506,5,태평양임대,34.722,202202,14,5900,7,1998,강변로410번길 31-5,,중개거래,강원 강릉시
강원도,강릉시,입암동,,506-5,506,5,태평양임대,39.348,202202,21,6700,6,1998,강변로410번길 31-5,,중개거래,강원 강릉시
강원도,강릉시,입암동,,506-5,506,5,태평양임대,39.348,202202,23,6500,13,1998,강변로410번길 31-5,,중개거래,강원 강릉시
강원도,강릉시,입암동,,506-5,506,5,태평양임대,39.348,202202,24,6200,4,1998,강변로410번길 31-5,,중개거래,강원 강릉시
강원도,강릉시,입암동,,506-5,506,5,태평양임대,39.348,202202,24,6200,4,1998,강변로410번길 31-5,20220228,중개거래,강원 강릉시
강원도,강릉시,입암동,,506-5,506,5,태평양임대,39.348,202202,25,6400,2,1998,강변로410번길 31-5,,중개거래,강원 강릉시
강원도,강릉시,입암동,,506-5,506,5,태평양임대,39.348,202202,25,6500,5,1998,강변로410번길 31-5,,중개거래,강원 강릉시
강원도,강릉시,저동,,44655,4,4,경포현대,84.915,202202,17,35000,2,1996,경포로463번안길 14,,중개거래,강원 강릉시
강원도,강릉시,주문진읍,교항리,1256,1256,0,교항2주공,49.85,202202,3,12200,14,2000,연주로 241-7,,중개거래,강원 강릉시
강원도,강릉시,주문진읍,교항리,16072,44,1,소훈,67.89,202202,9,6900,3,1991,매맥이길 14-3,,중개거래,강원 강릉시
강원도,강릉시,주문진읍,교항리,1166-1,1166,1,우신그린피아임대,59.98,202202,4,8550,3,1999,보리골길 26,,중개거래,강원 강릉시
강원도,강릉시,주문진읍,교항리,1166-1,1166,1,우신그린피아임대,59.98,202202,14,8100,1,1999,보리골길 26,,중개거래,강원 강릉시
강원도,강릉시,주문진읍,교항리,1166-1,1166,1,우신그린피아임대,59.98,202202,14,8700,4,1999,보리골길 26,,직거래,-
강원도,강릉시,주문진읍,교항리,1166-1,1166,1,우신그린피아임대,49.86,202202,19,7400,11,1999,보리골길 26,,중개거래,강원 강릉시
강원도,강릉시,주문진읍,주문리,61,61,0,주문진라일플로리스4차,45.6995,202202,9,14000,8,2017,오리나루2길 25,,직거래,-
강원도,강릉시,주문진읍,주문리,61,61,0,주문진라일플로리스4차,27.902,202202,11,11400,10,2017,오리나루2길 25,,중개거래,강원 강릉시
강원도,강릉시,주문진읍,주문리,61,61,0,주문진라일플로리스4차,21.305,202202,19,9500,4,2017,오리나루2길 25,,중개거래,강원 강릉시
강원도,강릉시,주문진읍,주문리,61,61,0,주문진라일플로리스4차,27.857,202202,21,14500,15,2017,오리나루2길 25,,중개거래,강원 강릉시
강원도,강릉시,주문진읍,주문리,61,61,0,주문진라일플로리스4차,23.662,202202,25,9300,2,2017,오리나루2길 25,,중개거래,강원 강릉시
강원도,강릉시,주문진읍,주문리,61,61,0,주문진라일플로리스4차,31.9353,202202,26,8800,14,2017,오리나루2길 25,,중개거래,강원 강릉시
강원도,강릉시,주문진읍,주문리,61,61,0,주문진라일플로리스4차,23.662,202202,28,11000,13,2017,오리나루2길 25,,중개거래,강원 원주시
강원도,강릉시,주문진읍,주문리,1585,1585,0,케이티레파트더블루힐,59.33,202202,14,8500,12,2007,주문북로 147-32,,직거래,-
강원도,강릉시,지변동,,334,334,0,덕원임대,33.471,202202,18,5900,10,1998,죽헌길85번길 25,,중개거래,강원 강릉시
강원도,강릉시,지변동,,334,334,0,덕원임대,52.176,202202,19,8000,2,1998,죽헌길85번길 25,,중개거래,강원 강릉시
강원도,강릉시,지변동,,334,334,0,덕원임대,59.961,202202,23,10000,10,1998,죽헌길85번길 25,,중개거래,강원 강릉시
강원도,강릉시,지변동,,334,334,0,덕원임대,59.961,202202,24,12800,7,1998,죽헌길85번길 25,,중개거래,"강원 강릉시, 경기 광명시"
강원도,강릉시,초당동,,143,143,0,우성,59.91,202202,4,14000,9,1997,연당길 67-15,,직거래,-
강원도,강릉시,초당동,,155,155,0,유화3,45.68,202202,3,14000,10,1996,연당길 82,,중개거래,강원 강릉시
강원도,강릉시,초당동,,155,155,0,유화3,45.68,202202,3,12000,9,1996,연당길 82,,중개거래,강원 강릉시
